first_name,second_name,web_name,id,team,element_type
Pascal,Groß,Gross,134,Brighton,MID
João Pedro,Junqueira de Jesus,João Pedro,135,Brighton,FWD
Michał,Karbownik,Karbownik,136,Brighton,DEF
Kacper,Kozłowski,Kozłowski,137,Brighton,MID
Adam,Lallana,Lallana,138,Brighton,MID
Tariq,Lamptey,Lamptey,139,Brighton,DEF
Solly,March,March,140,Brighton,MID
Tom,McGill,McGill,141,Brighton,GLK
James,Milner,Milner,142,Brighton,MID
Kaoru,Mitoma,Mitoma,143,Brighton,MID
Jakub,Moder,Moder,144,Brighton,MID
Jeremy,Sarmiento Morante,Sarmiento,146,Brighton,MID
Kjell,Scherpen,Scherpen,147,Brighton,GLK
Jason,Steele,Steele,148,Brighton,GLK
Deniz,Undav,Undav,149,Brighton,FWD
Jan Paul,van Hecke,Van Hecke,150,Brighton,DEF
Joël,Veltman,Veltman,151,Brighton,DEF
Bart,Verbruggen,Verbruggen,152,Brighton,GLK
Adam,Webster,Webster,153,Brighton,DEF
Danny,Welbeck,Welbeck,154,Brighton,FWD
Andi,Zeqiri,Zeqiri,155,Brighton,FWD
Igor Julio,dos Santos de Paulo,Igor,606,Brighton,DEF
Jack,Hinshelwood,Hinshelwood,621,Brighton,MID
Carlos,Baleba,Baleba,690,Brighton,MID
Anssumane,Fati Vieira,Ansu Fati,700,Brighton,MID
Mark,O’Mahony,O’Mahony,741,Brighton,FWD
Benicio,Baker-Boaitey,Baker-Boaitey,742,Brighton,MID
Ben,Jackson,Jackson,746,Brighton,DEF
Joshua,Duffus,Duffus,747,Brighton,MID
Leigh,Kavanagh,Kavanagh,753,Brighton,DEF
Luca,Barrington,Barrington,755,Brighton,MID
Cameron,Peupion,Peupion,786,Brighton,MID
Valentín,Barco,Barco,816,Brighton,DEF
Samy,Chouchane,Chouchane,843,Brighton,MID
Odeluga,Offiah,Offiah,845,Brighton,DEF
Noël,Atom,Atom,861,Brighton,DEF
Enock,Agyei,Agyei,156,Burnley,MID
Ameen,Al-Dakhil,Al-Dakhil,157,Burnley,DEF
Samuel,Bastien,Bastien,158,Burnley,MID
Manuel Benson,Hedilazio,Benson,159,Burnley,MID
Jordan,Beyer,Beyer,160,Burnley,DEF
Josh,Brownhill,Brownhill,161,Burnley,MID
Darko,Churlinov,Churlinov,162,Burnley,MID
Jack,Cork,Cork,163,Burnley,MID
Dara,Costelloe,Costelloe,164,Burnley,MID
Josh,Cullen,Cullen,165,Burnley,MID
CJ,Egan-Riley,Egan-Riley,166,Burnley,DEF
Hjalmar,Ekdal,Ekdal,167,Burnley,DEF
Lyle,Foster,Foster,168,Burnley,FWD
Denis,Franchi,Franchi,169,Burnley,GLK
Jóhann Berg,Gudmundsson,Gudmundsson,170,Burnley,MID
Luke,McNally,McNally,171,Burnley,DEF
Arijanet,Muric,Muric,172,Burnley,GLK
Dara,O'Shea,O'Shea,173,Burnley,DEF
Michael,Obafemi,Obafemi,174,Burnley,FWD
Bailey,Peacock-Farrell,Peacock-Farrell,175,Burnley,GLK
Connor,Roberts,Roberts,176,Burnley,DEF
Jay,Rodriguez,Rodriguez,177,Burnley,FWD
Charlie,Taylor,Taylor,178,Burnley,DEF
Bobby,Thomas,Thomas,179,Burnley,DEF
Scott,Twine,Twine,180,Burnley,MID
Lawrence,Vigouroux,Vigouroux,181,Burnley,GLK
Victor,da Silva,Vitinho,182,Burnley,DEF
Wout,Weghorst,Weghorst,183,Burnley,FWD
Anass,Zaroury,Zaroury,184,Burnley,MID
David Datro,Fofana,D.D.Fofana,200,Burnley,FWD
Sander,Berge,Berge,475,Burnley,MID
Zeki,Amdouni,Amdouni,594,Burnley,FWD
James,Trafford,Trafford,596,Burnley,GLK
Nathan,Redmond,Redmond,600,Burnley,MID
Luca,Koleosho,Koleosho,605,Burnley,MID
Jacob,Bruun Larsen,Bruun Larsen,608,Burnley,MID
Owen,Dodgson,Dodgson,622,Burnley,DEF
Wilson,Odobert,Odobert,660,Burnley,MID
Hannes,Delcroix,Delcroix,674,Burnley,DEF
Aaron,Ramsey,A.Ramsey,675,Burnley,MID
Han-Noah,Massengo,Massengo,694,Burnley,MID
Mike,Trésor,M.Trésor,706,Burnley,MID
Lorenz,Assignon,Assignon,805,Burnley,DEF
Maxime,Esteve,Estève,806,Burnley,DEF
Moisés,Caicedo Corozo,Caicedo,126,Chelsea,MID
