Player,unique_player_id,extension,Link
Sasa Kalajdzic,15f24fe7,Sasa-Kalajdzic,https://fbref.com/en/players/15f24fe7/Sasa-Kalajdzic
Jacob Bruun Larsen,4e204552,Jacob-Bruun-Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
Jóhann Berg Guðmundsson,f72293fc,Johann-Berg-Gudmundsson,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson
Nathan Redmond,ab651565,Nathan-Redmond,https://fbref.com/en/players/ab651565/Nathan-Redmond
Jacob Murphy,de112b84,Jacob-Murphy,https://fbref.com/en/players/de112b84/Jacob-Murphy
Javier Manquillo,758dd7f0,Javier-Manquillo,https://fbref.com/en/players/758dd7f0/Javier-Manquillo
Paul Dummett,3fe6bd8c,Paul-Dummett,https://fbref.com/en/players/3fe6bd8c/Paul-Dummett
Christian Nørgaard,df0a4c90,Christian-Norgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard
Keane Lewis-Potter,41f08ac8,Keane-Lewis-Potter,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter
Kristoffer Ajer,a8c0acb7,Kristoffer-Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
Rico Henry,8a3c1dc7,Rico-Henry,https://fbref.com/en/players/8a3c1dc7/Rico-Henry
Marcus Bettinelli,0d85a4e8,Marcus-Bettinelli,https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli
Bart Verbruggen,cf134113,Bart-Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen
Tariq Lamptey,f4e433d4,Tariq-Lamptey,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey
Ryan John Giles,73b1d65b,Ryan-John-Giles,https://fbref.com/en/players/73b1d65b/Ryan-John-Giles
Andrew Omobamidele,c393a6c4,Andrew-Omobamidele,https://fbref.com/en/players/c393a6c4/Andrew-Omobamidele
Nicolás Domínguez,20b3a502,Nicolas-Dominguez,https://fbref.com/en/players/20b3a502/Nicolas-Dominguez
Bobby Reid,0f7533cd,Bobby-Reid,https://fbref.com/en/players/0f7533cd/Bobby-Reid
Harry Wilson,c6dc9ecd,Harry-Wilson,https://fbref.com/en/players/c6dc9ecd/Harry-Wilson
Fodé Ballo-Touré,f449640d,Fode-Ballo-Toure,https://fbref.com/en/players/f449640d/Fode-Ballo-Toure
Anel Ahmedhodžić,eab957a3,Anel-Ahmedhodzic,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic
Cameron Archer,05e8ca6d,Cameron-Archer,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
Gustavo Hamer,eebacc07,Gustavo-Hamer,https://fbref.com/en/players/eebacc07/Gustavo-Hamer
Tom Davies,9228b07c,Tom-Davies,https://fbref.com/en/players/9228b07c/Tom-Davies
Vinicius Souza,6a8a7af8,Vinicius-Souza,https://fbref.com/en/players/6a8a7af8/Vinicius-Souza
Eberechi Eze,ae4fc6a4,Eberechi-Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze
Ionuț Radu,67f649be,Ionut-Radu,https://fbref.com/en/players/67f649be/Ionut-Radu
Lloyd Kelly,f31def1e,Lloyd-Kelly,https://fbref.com/en/players/f31def1e/Lloyd-Kelly
Milos Kerkez,0ad53bdc,Milos-Kerkez,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez
Ryan Christie,26ce2263,Ryan-Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie
Ezri Konsa,0313a347,Ezri-Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa
Jhon Durán,414184f7,Jhon-Duran,https://fbref.com/en/players/414184f7/Jhon-Duran
Hwang Hee-chan,169fd162,Hwang-Hee-chan,https://fbref.com/en/players/169fd162/Hwang-Hee-chan
João Gomes,8b57ad2c,Joao-Gomes,https://fbref.com/en/players/8b57ad2c/Joao-Gomes
Santiago Bueno,edc98fac,Santiago-Bueno,https://fbref.com/en/players/edc98fac/Santiago-Bueno
Charlie Taylor,cc2d7ad5,Charlie-Taylor,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor
Connor Roberts,24fae784,Connor-Roberts,https://fbref.com/en/players/24fae784/Connor-Roberts
Zeki Amdouni,2ee5b0c9,Zeki-Amdouni,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni
Elliot Anderson,de31038e,Elliot-Anderson,https://fbref.com/en/players/de31038e/Elliot-Anderson
Scott Carson,3e1550ee,Scott-Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson
Aaron Hickey,1780bb4a,Aaron-Hickey,https://fbref.com/en/players/1780bb4a/Aaron-Hickey
Ethan Pinnock,e541326e,Ethan-Pinnock,https://fbref.com/en/players/e541326e/Ethan-Pinnock
Mark Flekken,a92ab7be,Mark-Flekken,https://fbref.com/en/players/a92ab7be/Mark-Flekken
Mikkel Damsgaard,215f3907,Mikkel-Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard
Nathan Collins,a8c19eb8,Nathan-Collins,https://fbref.com/en/players/a8c19eb8/Nathan-Collins
Vitaly Janelt,8449d35e,Vitaly-Janelt,https://fbref.com/en/players/8449d35e/Vitaly-Janelt
James Garner,4e015693,James-Garner,https://fbref.com/en/players/4e015693/James-Garner
Jacob Brown,ca18c8f1,Jacob-Brown,https://fbref.com/en/players/ca18c8f1/Jacob-Brown
Marvelous Nakamba,de5b5570,Marvelous-Nakamba,https://fbref.com/en/players/de5b5570/Marvelous-Nakamba
Ross Barkley,3a24769f,Ross-Barkley,https://fbref.com/en/players/3a24769f/Ross-Barkley
Tahith Chong,2696b6a9,Tahith-Chong,https://fbref.com/en/players/2696b6a9/Tahith-Chong
Danilo,a816dbfb,Danilo,https://fbref.com/en/players/a816dbfb/Danilo
Nuno Tavares,a65c844b,Nuno-Tavares,https://fbref.com/en/players/a65c844b/Nuno-Tavares
Orel Mangala,a572e291,Orel-Mangala,https://fbref.com/en/players/a572e291/Orel-Mangala
Harrison Reed,803ae100,Harrison-Reed,https://fbref.com/en/players/803ae100/Harrison-Reed
Tim Ream,28b40c9c,Tim-Ream,https://fbref.com/en/players/28b40c9c/Tim-Ream
Tom Cairney,a8748947,Tom-Cairney,https://fbref.com/en/players/a8748947/Tom-Cairney
Amad Diallo,9dc96f10,Amad-Diallo,https://fbref.com/en/players/9dc96f10/Amad-Diallo
Nathan Patterson,230f0471,Nathan-Patterson,https://fbref.com/en/players/230f0471/Nathan-Patterson
Adam Davies,71894777,Adam-Davies,https://fbref.com/en/players/71894777/Adam-Davies
Auston Trusty,cddf767b,Auston-Trusty,https://fbref.com/en/players/cddf767b/Auston-Trusty
Jack Robinson,7399c7a8,Jack-Robinson,https://fbref.com/en/players/7399c7a8/Jack-Robinson
John Fleck,b63e789d,John-Fleck,https://fbref.com/en/players/b63e789d/John-Fleck
Oliver McBurnie,78b8ac63,Oliver-McBurnie,https://fbref.com/en/players/78b8ac63/Oliver-McBurnie
Nathan Ferguson,2f8d27bc,Nathan-Ferguson,https://fbref.com/en/players/2f8d27bc/Nathan-Ferguson
Darren Randolph,6385ebfb,Darren-Randolph,https://fbref.com/en/players/6385ebfb/Darren-Randolph
José Sá,903b6e8b,Jose-Sa,https://fbref.com/en/players/903b6e8b/Jose-Sa
Aaron Ramsey,e1618c22,Aaron-Ramsey,https://fbref.com/en/players/e1618c22/Aaron-Ramsey
Arijanet Muric,99aa1a84,Arijanet-Muric,https://fbref.com/en/players/99aa1a84/Arijanet-Muric
James Trafford,259fea27,James-Trafford,https://fbref.com/en/players/259fea27/James-Trafford
Lyle Foster,f84a807c,Lyle-Foster,https://fbref.com/en/players/f84a807c/Lyle-Foster
Frank Onyeka,2944f86f,Frank-Onyeka,https://fbref.com/en/players/2944f86f/Frank-Onyeka
Thomas Strakosha,339fe0e8,Thomas-Strakosha,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha
Yoane Wissa,2500cef9,Yoane-Wissa,https://fbref.com/en/players/2500cef9/Yoane-Wissa
Mathias Jørgensen,0db5d2c8,Mathias-Jorgensen,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen
Đorđe Petrović,0cf321c8,Djordje-Petrovic,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic
Dwight McNeil,fc15fb84,Dwight-McNeil,https://fbref.com/en/players/fc15fb84/Dwight-McNeil
Thomas Kaminski,1caa93a5,Thomas-Kaminski,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski
Tim Krul,f23f9d20,Tim-Krul,https://fbref.com/en/players/f23f9d20/Tim-Krul
Anthony Elanga,2fba6108,Anthony-Elanga,https://fbref.com/en/players/2fba6108/Anthony-Elanga
Gonzalo Montiel,374d5158,Gonzalo-Montiel,https://fbref.com/en/players/374d5158/Gonzalo-Montiel
Ryan Yates,c1fe2a48,Ryan-Yates,https://fbref.com/en/players/c1fe2a48/Ryan-Yates
Isaac Hayden,c951a6df,Isaac-Hayden,https://fbref.com/en/players/c951a6df/Isaac-Hayden
